executionOrder,submissionId,type,relativeExecutionTime,Depth,statement
5,1,SELECT,0.5,1,"SELECT c.CRN,
       Title"
1,1,FROM,0.5,1,FROM Students sRIGHT JOIN Enrollments e ON s.NetId = e.NetIdJOIN Courses c ON e.CRN = c.CRN
6,1,ORDER BY,0.5,1,"ORDER BY c.CRN ASC,
         e.Title DESC"
2,1,WHERE,0.5,1,"WHERE c.CRN BETWEEN 333 AND 602
  AND c.Title NOT LIKE '%I'
  AND c.Title LIKE '%Data%'
"
5,2,SELECT,0.5,1,"SELECT c.CRN,
       Title"
1,2,FROM,0.5,1,FROM Students sRIGHT JOIN Enrollments e ON s.NetId = e.NetIdJOIN Courses c ON e.CRN = c.CRN
6,2,ORDER BY,0.5,1,"ORDER BY c.CRN ASC,
         c.Title DESC"
2,2,WHERE,0.5,1,"WHERE c.CRN BETWEEN 333 AND 602
  AND c.Title NOT LIKE '%I'
  AND c.Title LIKE '%Data%'
"
5,3,SELECT,0.5,1,"SELECT c.CRN,
       Title"
1,3,FROM,0.5,1,FROM Students sLEFT JOIN Enrollments e ON s.NetId = e.NetIdJOIN Courses c ON e.CRN = c.CRN
6,3,ORDER BY,0.5,1,"ORDER BY c.CRN ASC,
         c.Title DESC"
2,3,WHERE,0.5,1,"WHERE c.CRN BETWEEN 333 AND 602
  AND c.Title NOT LIKE '%I'
  AND c.Title LIKE '%Data%'
"
5,4,SELECT,0.5,1,"SELECT c.CRN,
       Title"
1,4,FROM,0.5,1,FROM Students sINNER JOIN Enrollments e ON s.NetId = e.NetIdJOIN Courses c ON e.CRN = c.CRN
6,4,ORDER BY,0.5,1,"ORDER BY c.CRN ASC,
         c.Title DESC"
2,4,WHERE,0.5,1,"WHERE c.CRN BETWEEN 333 AND 602
  AND c.Title NOT LIKE '%I'
  AND c.Title LIKE '%Data%'
"
5,5,SELECT,0.5,1,"SELECT TOP 5|e.CRN,
           Title"
1,5,FROM,0.5,1,FROM Students sRIGHT JOIN Enrollments e ON s.NetId = e.NetIdJOIN Courses c ON e.CRN = c.CRN
6,5,ORDER BY,0.5,1,"ORDER BY c.CRN ASC,
         c.Title DESC"
2,5,WHERE,0.5,1,"WHERE c.CRN BETWEEN 333 AND 602
  AND c.Title NOT LIKE '%I'
  AND c.Title LIKE '%Data%'
"
5,6,SELECT,0.5,1,"SELECT TOP 5* e.CRN,
           Title"
1,6,FROM,0.5,1,FROM Students sRIGHT JOIN Enrollments e ON s.NetId = e.NetIdJOIN Courses c ON e.CRN = c.CRN
6,6,ORDER BY,0.5,1,"ORDER BY c.CRN ASC,
         c.Title DESC"
2,6,WHERE,0.5,1,"WHERE c.CRN BETWEEN 333 AND 602
  AND c.Title NOT LIKE '%I'
  AND c.Title LIKE '%Data%'
"
5,7,SELECT,0.5,1,"SELECT TOP5 e.CRN,
       Title"
1,7,FROM,0.5,1,FROM Students sRIGHT JOIN Enrollments e ON s.NetId = e.NetIdJOIN Courses c ON e.CRN = c.CRN
6,7,ORDER BY,0.5,1,"ORDER BY c.CRN ASC,
         c.Title DESC"
2,7,WHERE,0.5,1,"WHERE c.CRN BETWEEN 333 AND 602
  AND c.Title NOT LIKE '%I'
  AND c.Title LIKE '%Data%'
"
5,8,SELECT,0.5,1,"SELECT TOP5 e.CRN,
       Title"
1,8,FROM,0.5,1,FROM Students sRIGHT JOIN Enrollments e ON s.NetId = e.NetIdJOIN Courses c ON e.CRN = c.CRN
6,8,ORDER BY,0.5,1,"ORDER BY c.CRN ASC,
         c.Title DESC"
2,8,WHERE,0.5,1,"WHERE c.CRN BETWEEN 333 AND 602
  AND c.Title NOT LIKE '%I'
  AND c.Title LIKE '%Data%'
"
5,9,SELECT,0.5,1,"SELECT TOP5 e.CRN,
       Title"
1,9,FROM,0.5,1,FROM Students sRIGHT JOIN Enrollments e ON s.NetId = e.NetIdJOIN Courses c ON e.CRN = c.CRN
6,9,ORDER BY,0.5,1,"ORDER BY c.CRN ASC,
         c.Title DESC"
2,9,WHERE,0.5,1,"WHERE c.CRN BETWEEN 333 AND 602
  AND c.Title NOT LIKE '%I'
  AND c.Title LIKE '%Data%'
"
5,10,SELECT,0.5,1,"SELECT TOP 5 CRN,
           Title"
1,10,FROM,0.5,1,FROM Students sRIGHT JOIN Enrollments e ON s.NetId = e.NetIdJOIN Courses c ON e.CRN = c.CRN
6,10,ORDER BY,0.5,1,"ORDER BY c.CRN ASC,
         c.Title DESC"
2,10,WHERE,0.5,1,"WHERE c.CRN BETWEEN 333 AND 602
  AND c.Title NOT LIKE '%I'
  AND c.Title LIKE '%Data%'
"
5,11,SELECT,0.5,1,"SELECT TOP5 CRN,
       Title"
1,11,FROM,0.5,1,FROM contacts
6,11,ORDER BY,0.5,1,ORDER BY contact_id;
2,11,WHERE,0.5,1,"WHERE last_name = 'Anderson'
"
5,12,SELECT,0.5,1,"SELECT TOP5 CRN,
       Title"
1,12,FROM,0.5,1,FROM Students sRIGHT JOIN Enrollments e ON s.NetId = e.NetIdJOIN Courses c ON e.CRN = c.CRN
6,12,ORDER BY,0.5,1,"ORDER BY c.CRN ASC,
         c.Title DESC"
2,12,WHERE,0.5,1,"WHERE c.CRN BETWEEN 333 AND 602
  AND c.Title NOT LIKE '%I'
  AND c.Title LIKE '%Data%'
"
5,13,SELECT,0.5,1,"SELECT CRN,
       Title"
1,13,FROM,0.5,1,FROM Students sRIGHT JOIN Enrollments e ON s.NetId = e.NetIdJOIN Courses c ON e.CRN = c.CRN
6,13,ORDER BY,0.5,1,"ORDER BY c.CRN ASC,
         c.Title DESCLIMIT 5"
2,13,WHERE,0.5,1,"WHERE c.CRN BETWEEN 333 AND 602
  AND c.Title NOT LIKE '%I'
  AND c.Title LIKE '%Data%'
"
5,14,SELECT,0.5,1,"SELECT c.CRN,
       Title"
1,14,FROM,0.5,1,FROM Students sRIGHT JOIN Enrollments e ON s.NetId = e.NetIdJOIN Courses c ON e.CRN = c.CRN
6,14,ORDER BY,0.5,1,"ORDER BY c.CRN ASC,
         c.Title DESCLIMIT 5"
2,14,WHERE,0.5,1,"WHERE c.CRN BETWEEN 333 AND 602
  AND c.Title NOT LIKE '%I'
  AND c.Title LIKE '%Data%'
"
5,15,SELECT,0.5,1,"SELECT c.CRN,
       Title"
1,15,FROM,0.5,1,FROM Students sLEFT JOIN Enrollments e ON s.NetId = e.NetIdJOIN Courses c ON e.CRN = c.CRN
6,15,ORDER BY,0.5,1,"ORDER BY c.CRN ASC,
         c.Title DESCLIMIT 5"
2,15,WHERE,0.5,1,"WHERE c.CRN BETWEEN 333 AND 602
  AND c.Title NOT LIKE '%I'
  AND c.Title LIKE '%Data%'
"
5,16,SELECT,0.5,1,"SELECT c.CRN,
       Title"
1,16,FROM,0.5,1,FROM Students sINNER JOIN Enrollments e ON s.NetId = e.NetIdJOIN Courses c ON e.CRN = c.CRN
6,16,ORDER BY,0.5,1,"ORDER BY c.CRN ASC,
         c.Title DESCLIMIT 5"
2,16,WHERE,0.5,1,"WHERE c.CRN BETWEEN 333 AND 602
  AND c.Title NOT LIKE '%I'
  AND c.Title LIKE '%Data%'
"
5,17,SELECT,0.5,1,"SELECT c.CRN,
       Title"
1,17,FROM,0.5,1,FROM Students sJOIN Enrollments e ON s.NetId = e.NetIdJOIN Courses c ON e.CRN = c.CRN
6,17,ORDER BY,0.5,1,"ORDER BY c.CRN ASC,
         c.Title DESCLIMIT 5"
2,17,WHERE,0.5,1,"WHERE c.CRN BETWEEN 333 AND 602
  AND c.Title NOT LIKE '%I'
  AND c.Title LIKE '%Data%'
"
5,18,SELECT,0.5,1,"SELECT c.CRN,
       Title"
1,18,FROM,0.5,1,FROM Students sLEFT JOIN Enrollments e ON s.NetId = e.NetIdJOIN Courses c ON e.CRN = c.CRN
6,18,ORDER BY,0.5,1,"ORDER BY c.CRN ASC,
         c.Title DESCLIMIT 5"
2,18,WHERE,0.5,1,"WHERE c.CRN BETWEEN 333 AND 602
  AND c.Title NOT LIKE '%I'
  AND c.Title LIKE '%Data%'
"
5,19,SELECT,0.5,1,"SELECT c.CRN,
       Title"
1,19,FROM,0.5,1,FROM Enrollments eLEFT JOIN Courses c ON e.CRN = c.CRN
6,19,ORDER BY,0.5,1,"ORDER BY c.CRN ASC,
         c.Title DESCLIMIT 5"
2,19,WHERE,0.5,1,"WHERE c.CRN BETWEEN 333 AND 602
  AND c.Title NOT LIKE '%I'
  AND c.Title LIKE '%Data%'
"
5,20,SELECT,0.5,1,"SELECT DISTINCT c.CRN,
                Title"
1,20,FROM,0.5,1,FROM Enrollments eLEFT JOIN Courses c ON e.CRN = c.CRN
6,20,ORDER BY,0.5,1,"ORDER BY c.CRN ASC,
         c.Title DESCLIMIT 5"
2,20,WHERE,0.5,1,"WHERE c.CRN BETWEEN 333 AND 602
  AND c.Title NOT LIKE '%I'
  AND c.Title LIKE '%Data%'
"
5,21,SELECT,0.5,1,"SELECT c.CRN,
       Title"
1,21,FROM,0.5,1,FROM Enrollments eLEFT JOIN Courses c ON e.CRN = c.CRN
6,21,ORDER BY,0.5,1,"ORDER BY c.CRN ASC,
         c.Title DESCLIMIT 5"
3,21,GROUP BY,0.5,1,GROUP BY c.CRN
2,21,WHERE,0.5,1,"WHERE c.CRN BETWEEN 333 AND 602
  AND c.Title NOT LIKE '%I'
  AND c.Title LIKE '%Data%'
"
5,22,SELECT,0.5,1,"SELECT c.CRN,
       Title"
1,22,FROM,0.5,1,FROM Enrollments eLEFT JOIN Courses c ON e.CRN = c.CRN
3,22,GROUP BY,0.5,1,GROUP BY c.CRN
6,22,ORDER BY,0.5,1,"ORDER BY c.CRN ASC,
         c.Title DESCLIMIT 5"
2,22,WHERE,0.5,1,"WHERE c.CRN BETWEEN 333 AND 602
  AND c.Title NOT LIKE '%I'
  AND c.Title LIKE '%Data%'
"
5,24,SELECT,0.5,1,"SELECT s.NetId,
       MaxScore OVER"
6,24,ORDER BY,0.5,1,"ORDER BY category e.CRN,
         MinScore OVER category e.CRN s.NetId ASC,
         e.Score"
1,24,FROM,0.5,1,FROM Students sLEFT JOIN Enrollments e ON s.NetId = e.NetId
3,24,GROUP BY,0.5,1,GROUP BY
2,24,WHERE,0.5,1,"WHERE s.Department = 'STAT'
  AND
"
5,25,SELECT,0.5,1,"SELECT s.NetId,
       MaxScore OVER"
6,25,ORDER BY,0.5,1,"ORDER BY category e.CRN,
         MinScore OVER category e.CRN s.NetId ASC,
         e.Score"
1,25,FROM,0.5,1,FROM Students sLEFT JOIN Enrollments e ON s.NetId = e.NetId
2,25,WHERE,0.5,1,"WHERE s.Department = 'STAT'
  AND
"
5,26,SELECT,0.5,1,"SELECT s.NetId,
       MINScore OVER PARTITION BY CRN"
1,26,FROM,0.5,1,FROM Enrollments eLEFT JOIN Students s ON e.NetId = s.NetId
6,26,ORDER BY,0.5,1,"ORDER BY s.NetId ASC,
         e.Score DESC"
2,26,WHERE,0.5,1,"WHERE s.Department = 'STAT'
"
5,27,SELECT,0.5,1,"SELECT s.NetId,
       MINScore OVER PARTITION BY CRN"
1,27,FROM,0.5,1,FROM Enrollments eLEFT JOIN Students s ON e.NetId = s.NetId
6,27,ORDER BY,0.5,1,"ORDER BY s.NetId ASC,
         e.Score DESC"
2,27,WHERE,0.5,1,"WHERE s.Department = 'STAT'
"
5,28,SELECT,0.5,1,"SELECT s.NetId,
       Score"
1,28,FROM,0.5,1,FROM Enrollments eLEFT JOIN Students s ON e.NetId = s.NetId
3,28,GROUP BY,0.5,1,GROUP BY CRN
6,28,ORDER BY,0.5,1,"ORDER BY s.NetId ASC,
         e.Score DESC"
2,28,WHERE,0.5,1,"WHERE s.Department = 'STAT'
  AND Score =
  SELECT maxScore
  FROM Score
  OR Score =
  SELECT minScore
  FROM Score
"
5,29,SELECT,0.5,1,"SELECT s.NetId,
       Score"
1,29,FROM,0.5,1,FROM Enrollments eLEFT JOIN Students s ON e.NetId = s.NetId
3,29,GROUP BY,0.5,1,GROUP BY CRN
6,29,ORDER BY,0.5,1,"ORDER BY s.NetId ASC,
         e.Score DESC"
2,29,WHERE,0.5,1,"WHERE s.Department = 'STAT'
  AND Score =
  SELECT maxScore
  FROM e.Score
  OR Score =
  SELECT minScore
  FROM e.Score
"
5,30,SELECT,0.5,1,"SELECT s.NetId,
       maxScore"
1,30,FROM,0.5,1,"FROM e.Score,
     minScore e.Score Enrollments eLEFT JOIN Students s ON e.NetId = s.NetId"
3,30,GROUP BY,0.5,1,GROUP BY CRN
6,30,ORDER BY,0.5,1,"ORDER BY s.NetId ASC,
         e.Score DESC"
2,30,WHERE,0.5,1,"WHERE s.Department = 'STAT'
"
5,31,SELECT,0.5,1,"SELECT s.NetId,
       maxScore,
       minScore"
1,31,FROM,0.5,1,FROM Enrollments eLEFT JOIN Students s ON e.NetId = s.NetId
3,31,GROUP BY,0.5,1,GROUP BY CRN
6,31,ORDER BY,0.5,1,"ORDER BY s.NetId ASC,
         e.Score DESC"
2,31,WHERE,0.5,1,"WHERE s.Department = 'STAT'
"
5,32,SELECT,0.5,1,"SELECT s.NetId,
       maxEnrollments.Score,
       minEnrollments.Score"
1,32,FROM,0.5,1,FROM Enrollments eLEFT JOIN Students s ON e.NetId = s.NetId
3,32,GROUP BY,0.5,1,GROUP BY CRN
6,32,ORDER BY,0.5,1,"ORDER BY s.NetId ASC,
         e.Score DESC"
2,32,WHERE,0.5,1,"WHERE s.Department = 'STAT'
"
5,33,SELECT,0.5,1,"SELECT s.NetId,
       Score"
1,33,FROM,0.5,1,FROM Enrollments eLEFT JOIN Students s ON e.NetId = s.NetId
3,33,GROUP BY,0.5,1,GROUP BY CRN
6,33,ORDER BY,0.5,1,"ORDER BY s.NetId ASC,
         e.Score DESC"
2,33,WHERE,0.5,1,"WHERE s.Department = 'STAT'
  AND e.Score = maxScore
"
5,34,SELECT,0.5,1,"SELECT s.NetId,
       Score"
1,34,FROM,0.5,1,FROM Enrollments eLEFT JOIN Students s ON e.NetId = s.NetIdJOIN Courses c ON e.CRN = c.CRN
3,34,GROUP BY,0.5,1,GROUP BY CRN
6,34,ORDER BY,0.5,1,"ORDER BY s.NetId ASC,
         e.Score DESC"
2,34,WHERE,0.5,1,"WHERE s.Department = 'STAT'
  AND e.Score = maxScore
"
5,35,SELECT,0.5,1,"SELECT s.NetId,
       Score"
1,35,FROM,0.5,1,FROM Students sLEFT JOIN Enrollments e ON e.NetId = s.NetIdJOIN Courses c ON e.CRN = c.CRN
3,35,GROUP BY,0.5,1,GROUP BY CRN
6,35,ORDER BY,0.5,1,"ORDER BY s.NetId ASC,
         e.Score DESC"
2,35,WHERE,0.5,1,"WHERE s.Department = 'STAT'
  AND e.Score = maxScore
"
5,36,SELECT,0.5,1,"SELECT s.NetId,
       Score"
1,36,FROM,0.5,1,FROM Students sLEFT JOIN Enrollments e ON e.NetId = s.NetIdJOIN Courses c ON e.CRN = c.CRN
